"energy","liveness","tempo","speechiness","acousticness","danceability","duration_ms","loudness"
0.803,0.153,106.97,0.0797,0.034,0.818,225983,-4.282
0.665,0.123,127.076,0.244,0.061,0.927,343150,-5.313
0.653,0.229,75.016,0.289,0.378,0.746,253107,-6.745
0.497,0.0852,99.972,0.0362,0.0808,0.695,211364,-4.884
0.813,0.254,75.975,0.0416,0.0153,0.464,222533,-6.185
0.795,0.254,104.066,0.0545,0.498,0.736,230813,-3.299
0.728,0.149,130.049,0.0484,0.0847,0.841,243837,-3.37
0.687,0.158,139.023,0.217,0.242,0.865,242407,-3.744
0.489,0.122,171.853,0.294,0.0576,0.497,268187,-7.724
0.245,0.102,96.992,0.138,0.515,0.759,237507,-6.545
0.444,0.26,136.088,0.243,0.0143,0.924,236615,-8.227
0.836,0.152,159.863,0.0491,0.208,0.501,192000,-3.587
0.718,0.043,99.915,0.116,0.13,0.699,234308,-6.295
0.779,0.121,130.002,0.224,0.279,0.834,222707,-1.075
0.807,0.214,112.001,0.106,0.053,0.768,284000,-5.508
0.741,0.11,97.048,0.139,0.0294,0.591,230227,-5.751
0.726,0.0976,139.059,0.282,0.259,0.763,126346,-6.405
0.317,0.101,140.009,0.0583,0.215,0.678,208120,-9.427
0.656,0.117,120.037,0.0413,0.27,0.663,211160,-6.548
0.79,0.123,155.934,0.035,0.263,0.505,215080,-5.442
0.763,0.18,101.965,0.0523,0.406,0.72,251088,-4.068
0.54,0.261,137.972,0.0576,0.0895,0.584,220883,-7.786
0.644,0.0888,99.999,0.031,0.0243,0.646,221520,-6.763
0.722,0.117,143.78,0.0284,0.312,0.536,203293,-4.163
0.798,0.144,95.252,0.0944,0.0763,0.52,237734,-5.389
0.641,0.073,171.957,0.0456,0.0848,0.506,224000,-4.815
0.567,0.125,81.477,0.175,0.105,0.77,222360,-5.698
0.819,0.0863,92.99,0.127,0.44,0.767,269187,-5.945
0.452,0.187,117.962,0.0534,0.0578,0.737,245653,-8.366
0.405,0.0707,139.976,0.225,0.119,0.85,190312,-7.509
0.809,0.0741,82.022,0.0388,0.0549,0.53,187760,-4.745
0.53,0.164,75.515,0.293,0.0541,0.789,142907,-6.2
0.357,0.125,84.864,0.259,0.644,0.597,197773,-14.718
0.832,0.0968,113.035,0.0682,0.0106,0.669,237547,-5.72
0.576,0.0869,142.096,0.0829,0.0556,0.762,220813,-4.951
0.838,0.159,104.998,0.0362,0.0604,0.67,222041,-4.031
0.669,0.111,147.926,0.0794,0.125,0.568,208733,-4.889
0.319,0.173,83.632,0.0518,0.603,0.576,163387,-10.934
0.409,0.189,174.324,0.421,0.361,0.653,264747,-11.446
0.783,0.194,90.008,0.0276,0.116,0.685,201893,-4.152
0.595,0.136,185.998,0.284,0.168,0.675,230453,-7.033
0.62,0.0978,100.025,0.067,0.341,0.776,214265,-6.198
0.488,0.196,133.987,0.42,0.108,0.927,210937,-9.433
0.825,0.0972,98.959,0.0535,0.0231,0.392,243253,-2.068
0.563,0.0673,179.484,0.354,0.173,0.315,175517,-9.671
0.805,0.33,141.967,0.0289,0.124,0.521,176987,-4.481
0.694,0.178,137.847,0.128,0.192,0.677,239293,-4.752
0.838,0.108,94.982,0.0704,0.0189,0.596,240427,-6.52
0.424,0.107,129.911,0.0444,0.437,0.665,205280,-7.838
0.612,0.293,77.487,0.0806,0.181,0.585,249213,-8.341
0.713,0.144,100.023,0.0368,0.0771,0.652,205947,-5.311
0.471,0.0733,152.881,0.0577,0.592,0.588,242081,-7.287
0.73,0.0894,85.015,0.0378,0.0165,0.653,199213,-8.018
0.396,0.105,90.024,0.0286,0.0841,0.732,195920,-9.348
0.323,0.205,120.036,0.506,0.176,0.941,209640,-10.307
0.646,0.14,145.931,0.0614,0.13,0.794,291893,-6.235
0.76,0.239,143.991,0.0361,0.126,0.524,260933,-4.214
0.6,0.187,101.981,0.0438,0.114,0.638,245604,-5.84
0.773,0.159,102.034,0.0776,0.187,0.852,195840,-2.921
0.728,0.328,159.167,0.232,0.0373,0.65,226160,-5.914
0.569,0.0924,89.779,0.166,0.0508,0.584,217603,-4.259
0.624,0.168,101.988,0.027,0.14,0.691,181200,-5.874
0.727,0.196,164.992,0.208,0.0312,0.618,180520,-7.224
0.893,0.105,163.948,0.0383,0.0158,0.552,189467,-4.593
0.81,0.106,82.888,0.226,0.118,0.672,187973,-4.104
0.444,0.173,140.063,0.384,0.136,0.906,235040,-8.692
0.773,0.105,122.65,0.0949,0.572,0.416,210307,-3.784
0.525,0.057,145.99,0.132,0.236,0.886,225205,-7.39
0.407,0.126,111.916,0.0297,0.711,0.69,232600,-7.739
0.62,0.0994,99.953,0.0888,0.39,0.712,181880,-4.187
0.887,0.391,160.517,0.275,0.00381,0.807,144244,-3.892
0.539,0.106,112.006,0.0409,0.326,0.619,206400,-5.688
0.698,0.0907,89.976,0.105,0.0472,0.628,211667,-5.608
0.869,0.136,159.803,0.172,0.157,0.532,208373,-5.094
0.921,0.0831,118.99,0.0391,0.00305,0.697,294573,-3.75
0.725,0.0561,191.944,0.266,0.0102,0.668,210227,-6.127
0.836,0.0828,139.956,0.0427,0.00609,0.636,193253,-3.004
0.417,0.0844,82.407,0.0363,0.606,0.686,230600,-7.787
0.413,0.101,149.004,0.396,0.373,0.835,258880,-9.81
0.544,0.144,122.047,0.0332,0.562,0.822,198001,-6.797
0.874,0.111,200.179,0.114,0.0595,0.456,204093,-4.129
0.797,0.187,92.928,0.0534,0.055,0.602,185360,-5.084
0.427,0.0906,108.034,0.145,0.0312,0.886,177184,-10.028
0.805,0.167,166.048,0.0332,0.125,0.497,191827,-3.995
0.56,0.164,85.023,0.185,0.00479,0.804,251333,-6.682
0.359,0.12,81.987,0.461,0.069,0.843,163944,-7.417
0.519,0.454,133.99,0.0409,0.109,0.501,195707,-5.88
0.586,0.115,90,0.0307,0.097,0.662,194080,-8.821
0.275,0.101,92.6,0.3,0.687,0.492,251034,-13.4
0.819,0.156,166.012,0.455,0.533,0.64,234526,-4.108
0.915,0.351,75.019,0.0389,0.0406,0.488,226173,-4.255
0.716,0.0758,88.549,0.043,0.0169,0.632,187813,-5.677
0.673,0.203,117.02,0.0469,0.177,0.598,193546,-6.134
0.547,0.216,121.01,0.0786,0.0496,0.96,223093,-6.992
0.418,0.149,152.003,0.0297,0.261,0.651,312355,-14.651
0.48,0.0662,95.846,0.117,0.0094,0.887,193200,-11.994
0.716,0.316,136.904,0.0768,0.115,0.706,252263,-4.263
0.548,0.181,81.293,0.243,0.0173,0.412,325615,-6.981
0.476,0.103,130.007,0.114,0.366,0.762,243270,-12.686
0.402,0.0556,119.585,0.0299,0.676,0.661,131733,-11.954
0.346,0.087,84.98,0.0613,0.0538,0.807,235477,-10.275
0.833,0.086,93.977,0.036,0.0155,0.608,220267,-4.458
0.314,0.0825,110.898,0.244,0.11,0.671,191600,-8.091
0.713,0.113,74.989,0.0393,0.00835,0.645,214507,-5.355
0.624,0.356,103.987,0.0505,0.00849,0.776,173975,-5.815
0.928,0.148,123.963,0.0331,0.199,0.63,222160,-2.787
0.713,0.0754,122.908,0.0425,0.131,0.596,239853,-3.121
0.746,0.102,139.788,0.0329,0.0972,0.531,226307,-4.228
0.548,0.181,81.293,0.243,0.0173,0.412,325615,-6.981
0.7,0.369,145.14,0.347,0.0196,0.756,226520,-5.922
0.412,0.134,113.049,0.344,0.615,0.6,225882,-9.343
0.786,0.65,169.021,0.317,0.255,0.502,243491,-4.378
0.505,0.225,189.978,0.275,0.0121,0.524,228027,-8.256
0.565,0.368,133.631,0.0426,0.119,0.567,239704,-7.78
0.95,0.0742,103.982,0.0743,0.00932,0.566,227427,-0.675
0.65,0.102,117.984,0.118,0.0606,0.804,263373,-7.79
0.239,0.099,82.02,0.0512,0.953,0.524,223262,-18.228
0.795,0.123,135.018,0.174,0.156,0.652,304607,-5.192
0.563,0.179,100.017,0.134,0.621,0.728,217707,-8.053
0.808,0.287,80.89,0.0499,0.0795,0.536,184267,-4.186
